id,index,name,description,tag
1,1,50:0,50:148,""
1,2,50:1,50:149,""
1,3,50:2,50:150,""
2,1,50:3,50:151,""
2,2,50:4,50:152,""
3,1,50:5,50:153,""
3,2,50:6,50:154,""
3,3,50:7,50:155,""
3,4,50:8,50:156,""
4,1,50:9,50:157,50:296
4,2,50:10,50:158,50:297
4,3,50:11,50:159,50:298
4,4,50:12,50:160,50:299
4,5,50:13,50:161,50:300
4,6,50:14,50:162,50:301
4,7,50:15,50:163,50:302
4,8,50:16,50:164,50:303
4,9,50:17,50:165,50:304
4,10,50:18,50:166,""
4,11,50:19,50:167,""
5,1,50:20,50:168,""
5,2,50:21,50:169,""
5,3,50:22,50:170,""
5,4,50:23,50:171,""
5,5,50:24,50:172,""
5,6,50:25,50:173,""
6,1,50:26,50:174,""
6,2,50:27,50:175,""
6,3,50:28,50:176,""
6,4,50:29,50:177,""
6,5,50:30,50:178,50:305
7,1,50:31,50:179,50:306
7,2,50:32,50:180,""
8,1,50:33,50:181,50:307
8,2,50:34,50:182,""
9,1,50:35,50:183,50:308
9,2,50:36,50:184,""
9,3,50:37,50:185,""
9,4,50:38,50:186,50:309
9,5,50:39,50:187,50:310
10,1,50:40,50:188,50:311
10,2,50:41,50:189,""
10,3,50:42,50:190,""
11,1,50:43,50:191,""
11,2,50:44,50:192,""
11,3,50:45,50:193,""
11,4,50:46,50:194,""
11,5,50:47,50:195,""
11,6,50:48,50:196,""
12,1,50:49,50:197,""
13,1,50:50,50:198,""
13,2,50:51,50:199,""
13,3,50:52,50:200,""
13,4,50:53,50:201,""
13,5,50:54,50:202,""
13,6,50:55,50:203,""
14,1,50:56,50:204,""
14,2,50:57,50:205,""
14,3,50:58,50:206,""
15,1,50:59,50:207,""
15,2,50:60,50:208,""
15,3,50:61,50:209,""
15,4,50:62,50:210,""
15,5,50:63,50:211,""
15,6,50:64,50:212,""
15,7,50:65,50:213,""
16,1,50:66,50:214,""
16,2,50:67,50:215,""
16,3,50:68,50:216,""
17,1,50:69,50:217,""
18,1,50:70,50:218,""
18,2,50:71,50:219,""
18,3,50:72,50:220,""
19,1,50:73,50:221,""
19,2,50:74,50:222,""
19,3,50:75,50:223,""
20,1,50:76,50:224,50:312
21,1,50:77,50:225,50:313
22,1,50:78,50:226,50:314
23,1,50:79,50:227,50:315
24,1,50:80,50:228,50:316
25,1,50:81,50:229,50:317
26,1,50:82,50:230,50:318
27,1,50:83,50:231,50:319
28,1,50:84,50:232,""
28,2,50:85,50:233,""
29,1,50:86,50:234,""
29,2,50:87,50:235,""
29,3,50:88,50:236,""
29,4,50:89,50:237,""
30,1,50:90,50:238,""
31,1,50:91,50:239,""
31,2,50:92,50:240,""
32,1,50:93,50:241,""
32,2,50:94,50:242,""
33,1,50:95,50:243,50:320
33,2,50:96,50:244,50:321
33,3,50:97,50:245,50:322
33,4,50:98,50:246,50:323
33,5,50:99,50:247,50:324
33,6,50:100,50:248,50:325
33,7,50:101,50:249,50:326
33,8,50:102,50:250,50:327
33,9,50:103,50:251,50:328
34,1,50:104,50:252,""
34,2,50:105,50:253,""
34,3,50:106,50:254,""
35,1,50:107,50:255,""
36,1,50:108,50:256,""
36,2,50:109,50:257,""
37,1,50:110,50:258,""
37,2,50:111,50:259,""
38,1,50:112,50:260,50:329
38,2,50:113,50:261,50:330
38,3,50:114,50:262,""
38,4,50:115,50:263,""
39,1,50:116,50:264,50:331
39,2,50:117,50:265,""
39,3,50:118,50:266,""
40,1,50:119,50:267,50:332
40,2,50:120,50:268,""
40,3,50:121,50:269,""
40,4,50:122,50:270,""
901,1,50:123,50:271,""
901,2,50:124,50:272,""
901,3,50:125,50:273,""
903,1,50:126,50:274,""
903,2,50:127,50:275,""
903,3,50:128,50:276,""
909,1,50:129,50:277,""
909,2,50:130,50:278,""
910,1,50:131,50:279,""
910,2,50:132,50:280,""
911,1,50:133,50:281,""
911,2,50:134,50:282,""
912,1,50:135,50:283,""
912,2,50:136,50:284,""
913,1,50:137,50:285,""
913,2,50:138,50:286,""
914,1,50:139,50:287,""
914,2,50:140,50:288,""
915,1,50:141,50:289,""
915,2,50:142,50:290,""
906,1,50:143,50:291,""
906,2,50:144,50:292,""
907,1,50:145,50:293,""
907,2,50:146,50:294,""
908,1,50:147,50:295,""
